id,geohash,is_dispatch,station_id
B0FFH1NC1J,wtmdyh,1,5ce7760e25e1f7d35e8b456a
B0FFG0WSHU,wtmdyh,1,5ce7760e25e1f7d35e8b456a
B023F0PO7J,wtmdyh,1,5ce7760e25e1f7d35e8b456a
B0FFGIWH7O,wtmdyh,1,5ce7760e25e1f7d35e8b456a
B023F0Q9NQ,wtmdyh,1,5ce7760e25e1f7d35e8b456a
B0FFHNRG83,wtmdyh,1,5ce7760e25e1f7d35e8b456a
B0FFHHMQLR,wtmf8e,1,5e87e23026c3d175768b456d
B023F0348Z,wtmf8e,1,5e87e23026c3d175768b456d
B0FFHHPTZA,wtmf8e,1,5e87e23026c3d175768b456d
B023F02K34,wtmf8e,1,5e87e23026c3d175768b456d
B023F00I5R,wtmf8e,1,5e87e23026c3d175768b456d
B0FFK7M0VG,wtmf8e,1,5e87e23026c3d175768b456d
B0FFJC3JZD,wtmf8e,1,5e87e23026c3d175768b456d
B023F018CR,wtmf8e,1,5e87e23026c3d175768b456d
B023F02JZJ,wtmf8e,1,5e87e23026c3d175768b456d
B023F0QMRT,wtmf8e,1,5e87e23026c3d175768b456d
B0FFHM8Z79,wtmf8e,1,5e87e23026c3d175768b456d
B023F00FIF,wtmf8e,1,5e87e23026c3d175768b456d
B023F02JCR,wtmf8e,1,5e87e23026c3d175768b456d
B023F0Q9MN,wtmf8e,1,5e87e23026c3d175768b456d
B0FFF5MA93,wtmf8e,1,5e87e23026c3d175768b456d
B023F01CNP,wtmf8e,1,5e87e23026c3d175768b456d
B023F019U1,wtmf8e,1,5e87e23026c3d175768b456d
B023F00FLJ,wtmf8e,1,5e87e23026c3d175768b456d
B023F034G5,wtmf8e,1,5e87e23026c3d175768b456d
B023F0OTTK,wtmf8e,1,5e87e23026c3d175768b456d
B023F033NM,wtmfqj,1,
B023F02TST,wtme7t,1,
B023F02L84,wtme7t,1,
B0FFIQIT7M,wtme7t,1,
B023F02SCL,wtme7t,1,
B0FFF394MB,wtme7t,1,
B0FFF01W5W,wtme7t,1,
B023F02TG6,wtme7t,1,
B023F0P4OT,wtme7t,1,
B0FFF751MB,wtme7t,1,
B023F0P4P5,wtme7t,1,
B023F0P9J8,wtmdxv,1,5e87e20f26c3d175768b456c
B023F01O3U,wtmdxv,1,5e87e20f26c3d175768b456c
B023F00LLV,wtmdxv,1,5e87e20f26c3d175768b456c
B023F00M05,wtmdxv,1,5e87e20f26c3d175768b456c
B023F000B4,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFFGWCIC,wtmdxv,1,5e87e20f26c3d175768b456c
B023F0PA1A,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFGS6RV3,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFISD2T7,wtmdxv,1,5e87e20f26c3d175768b456c
B023F01DY6,wtmdxv,1,5e87e20f26c3d175768b456c
B023F036XV,wtmdxv,1,5e87e20f26c3d175768b456c
B023F030K3,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02IJA,wtmdxv,1,5e87e20f26c3d175768b456c
B023F01AMK,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02IVK,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02KLO,wtmdxv,1,5e87e20f26c3d175768b456c
B023F01QGJ,wtmdxv,1,5e87e20f26c3d175768b456c
B023F0P9HQ,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFIJX30C,wtmdxv,1,5e87e20f26c3d175768b456c
B023F0P9ZY,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02IJB,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02IH6,wtmdxv,1,5e87e20f26c3d175768b456c
B023F0POF0,wtmdxv,1,5e87e20f26c3d175768b456c
B023F00FIG,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFFGWBOA,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFG9DKJX,wtmdxv,1,5e87e20f26c3d175768b456c
B023F019BO,wtmdxv,1,5e87e20f26c3d175768b456c
B023F0QLIA,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02NAP,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFHOUDFF,wtmdxv,1,5e87e20f26c3d175768b456c
B023F026WD,wtmdxv,1,5e87e20f26c3d175768b456c
B023F01FFA,wtmdxv,1,5e87e20f26c3d175768b456c
B023F01OSJ,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02JVS,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02KGM,wtmdxv,1,5e87e20f26c3d175768b456c
B023F01DAI,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFHG3XSW,wtmdxv,1,5e87e20f26c3d175768b456c
B0FFFGYKPA,wtmdxv,1,5e87e20f26c3d175768b456c
B023F02UFK,wtmeh6,1,
B023F02UF3,wtmeh6,1,
B0FFHGQ5NV,wtmeh6,1,
B023F02KLK,wtmeh6,1,
B0FFGDQCHF,wtmeh6,1,
B0FFHZVU86,wtmfy5,1,
B023F02TCY,wtmfy5,1,
B023F02T5T,wtmfy5,1,
B023F02V6L,wtmfy5,1,
B0FFGCBRM0,wtmfy5,1,
B0FFG8AKNY,wtmfy5,1,
B0FFG03KJP,wtmdy3,1,
B0FFG2V95R,wtmdy3,1,
B023F02L8B,wtmdy3,1,
B0FFIG4UJH,wtmfbn,1,
B0FFHIGOEP,wtmfbn,1,
B0FFKG1FYL,wtmfbn,1,
B0FFKQM1C9,wtmfbn,1,
B0FFKPS86M,wtmfbn,1,
B0FFKPS860,wtmfbn,1,
B0FFF9UUCQ,wtmfbn,1,
B0FFIUDIM7,wtmfbn,1,
B023F0PNIE,wtmeks,1,
B0FFJHV9EC,wtmeks,1,
B023F01SSU,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F0QIH8,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F02N6R,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F02NG2,wtmfb1,1,5ce7764625e1f7d35e8b456b
B0FFFAL77L,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F00EM6,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F0259S,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F01XBM,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F02Q9B,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F0P3Q7,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F0PKKQ,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F02IMG,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F0P9S4,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F02II7,wtmfb1,1,5ce7764625e1f7d35e8b456b
B023F03B6D,wtmfb1,1,5ce7764625e1f7d35e8b456b
B0FFGR946C,wtmg06,1,5e9e9ed128878574728b4569
B023F02KCN,wtmg06,1,5e9e9ed128878574728b4569
B0FFH6AZDZ,wtmg06,1,5e9e9ed128878574728b4569
B023F0P4NZ,wtmg06,1,5e9e9ed128878574728b4569
B023F035ZK,wtmg06,1,5e9e9ed128878574728b4569
B0FFJ0CYYX,wtmg06,1,5e9e9ed128878574728b4569
B023F039I3,wtmg06,1,5e9e9ed128878574728b4569
B023F02QGR,wtmg06,1,5e9e9ed128878574728b4569
B023F01RZB,wtmdxf,1,5e87e23026c3d175768b456d
B0FFGXSPXK,wtmdxf,1,5e87e23026c3d175768b456d
B0FFFGWAIC,wtmdxf,1,5e87e23026c3d175768b456d
B023F01CRO,wtmdxf,1,5e87e23026c3d175768b456d
B023F02KIN,wtmdxf,1,5e87e23026c3d175768b456d
B0FFFRZXVB,wtmdxf,1,5e87e23026c3d175768b456d
B0FFG9CX1P,wtmdxf,1,5e87e23026c3d175768b456d
B023F02KIL,wtmdxf,1,5e87e23026c3d175768b456d
B023F01FBJ,wtmdxf,1,5e87e23026c3d175768b456d
B0FFHCZ5GN,wtmdxf,1,5e87e23026c3d175768b456d
B023F01DYQ,wtmdxf,1,5e87e23026c3d175768b456d
B023F02J4N,wtmdxf,1,5e87e23026c3d175768b456d
B023F034AZ,wtmdxf,1,5e87e23026c3d175768b456d
B023F0OTN0,wtmdxf,1,5e87e23026c3d175768b456d
B023F0OUXC,wtmdxf,1,5e87e23026c3d175768b456d
B023F0OUVH,wtmdxf,1,5e87e23026c3d175768b456d
B0FFHCCQ61,wtmdxf,1,5e87e23026c3d175768b456d
B0FFFZRN93,wtmdxf,1,5e87e23026c3d175768b456d
B023F01GA2,wtmdxf,1,5e87e23026c3d175768b456d
B0FFHCCQ48,wtmdxf,1,5e87e23026c3d175768b456d
B023F01TAP,wtmdxf,1,5e87e23026c3d175768b456d
B0FFFE9RD7,wtmdxf,1,5e87e23026c3d175768b456d
B023F0Q9M3,wtmdxf,1,5e87e23026c3d175768b456d
B023F02L86,wtmg0t,1,5e9e9ed128878574728b4569
B023F0P4KB,wtmg0t,1,5e9e9ed128878574728b4569
B023F039GL,wtmg0t,1,5e9e9ed128878574728b4569
B023F02QGO,wtmg0t,1,5e9e9ed128878574728b4569
B0FFJ0RSD3,wtme6y,1,
B0FFIDQ1AF,wtmfbt,1,
B0FFG3FAGY,wtmfbt,1,
B0FFI17UBV,wtmfbt,1,
B0FFFYO52Y,wtmfbt,1,
B023F0Q7CD,wtmfbt,1,
B0FFJ9HDG1,wtmemc,1,
B023F02TSH,wtmemc,1,
B0FFJP979W,wtmemc,1,
B0FFIWG0GU,wtmemc,1,
B0FFID6NHV,wtmek8,1,
B023F017DL,wtmek8,1,
B0FFKMYCAZ,wtmfjs,1,
B023F0P5RF,wtmfjs,1,
B0FFF2Q8S3,wtmftt,1,
B023F0OTSG,wtmdxb,1,5e87e23026c3d175768b456d
B023F02J47,wtmdxb,1,5e87e23026c3d175768b456d
B023F01D52,wtmdxb,1,5e87e23026c3d175768b456d
B023F0P3QB,wtmdxb,1,5e87e23026c3d175768b456d
B023F0PVII,wtmdxb,1,5e87e23026c3d175768b456d
B0FFFE16MN,wtmdxb,1,5e87e23026c3d175768b456d
B023F005BC,wtmdxb,1,5e87e23026c3d175768b456d
B023F01DRP,wtmdxb,1,5e87e23026c3d175768b456d
B0FFHHTJC6,wtmdxb,1,5e87e23026c3d175768b456d
B023F0OUXB,wtmdxb,1,5e87e23026c3d175768b456d
B023F0P3Q9,wtmdxb,1,5e87e23026c3d175768b456d
B023F0OTSF,wtmdxb,1,5e87e23026c3d175768b456d
B0FFGCU4CF,wtmdxb,1,5e87e23026c3d175768b456d
B023F0P3QA,wtmdxb,1,5e87e23026c3d175768b456d
B0FFHCCYWE,wtmdxb,1,5e87e23026c3d175768b456d
B0FFHFPMQN,wtmdxb,1,5e87e23026c3d175768b456d
B023F01RKL,wtmdxb,1,5e87e23026c3d175768b456d
B0FFH1ANLE,wtmg0k,1,5e9e9ed128878574728b4569
B0FFIQFX1B,wtmg0k,1,5e9e9ed128878574728b4569
B023F02KCS,wtmg0k,1,5e9e9ed128878574728b4569
B0FFGNP35L,wtmg0k,1,5e9e9ed128878574728b4569
B0FFF9UTF6,wtmg0k,1,5e9e9ed128878574728b4569
B023F0Q74W,wtmg0k,1,5e9e9ed128878574728b4569
B023F0QF5M,wtmg0k,1,5e9e9ed128878574728b4569
B023F0OSRJ,wtmg0k,1,5e9e9ed128878574728b4569
