id,geohash,is_dispatch
B001C7WPZS,wm6n2w,1.0
B0FFFABKYP,wm6n2w,1.0
B0FFFABFFC,wm6n2w,1.0
B001C8MLGK,wm6n2w,1.0
B001C8OOOO,wm6n2w,1.0
B0FFFABSC9,wm6n2w,1.0
B001C7X80K,wm6n2w,1.0
B0FFGARHCF,wm6n2w,1.0
B0FFFABK2F,wm6n2w,1.0
B001C7YQWG,wm6n2w,1.0
B001C8MPR1,wm6n2w,1.0
B001C7YKAD,wm3v7v,0.0
B001C7UXB8,wm3v7v,0.0
B0FFFE851K,wm3v7v,0.0
B0FFF0DR1Z,wm3v7v,0.0
B0FFG57SVR,wm3v7v,0.0
B001C8O7PC,wm3v7v,0.0
B001C7WLI8,wm3yw8,1.0
B0FFGZT1D5,wm3yw8,1.0
B001C7XX0X,wm3yw8,1.0
B001C80DC6,wm3yw8,1.0
B001C7TBK7,wm3yw8,1.0
B0FFHG0BDY,wm3yw8,1.0
B001C7VMDQ,wm3yw8,1.0
B001C92DUS,wm3yw8,1.0
B001C7X68Y,wm3yw8,1.0
B0FFGJ0C4L,wm3yw8,1.0
B001C80FBT,wm3yw8,1.0
B0FFF5TBPB,wm3yw8,1.0
B001C8O413,wm3yw8,1.0
B001C7YOXL,wm3yw8,1.0
B001C7WJF3,wm3yw8,1.0
B001C7VLY7,wm3yw8,1.0
B001C7XGX3,wm3yw8,1.0
B001C07ANA,wm3yw8,1.0
B001C7WLIH,wm3yw8,1.0
B001C7Y6OM,wm3yw8,1.0
B001C8O708,wm3yw8,1.0
B001C7WBY7,wm3yw8,1.0
B001C8W9UR,wm3yw8,1.0
B001C7WLID,wm3yw8,1.0
B001C80DC2,wm3yw8,1.0
B0FFFYIXPB,wm3yw8,1.0
B001C7WBY8,wm3yw8,1.0
B001C044B8,wm3wdc,0.0
B0FFG8WDUM,wm3yhc,1.0
B001C8MN39,wm3yhc,1.0
B001C8RRBB,wm3yhc,1.0
B0FFFZTMM8,wm3yhc,1.0
B001C8MN4R,wm3yhc,1.0
B001C8R7KP,wm3yhc,1.0
B001C959Y7,wm3yhc,1.0
B001C8R7PG,wm3yhc,1.0
B0FFFVKVXX,wm6n3p,1.0
B001C7YOVB,wm6n3p,1.0
B0FFG2ZT9R,wm6n3p,1.0
B001C80GR1,wm6n3p,1.0
B0FFFPEAHS,wm6n3p,1.0
B001C8ORB5,wm6n3p,1.0
B001C80GQW,wm6n3p,1.0
B0FFJBBGQ6,wm6n3p,1.0
B0FFGXGOYV,wm6n3p,1.0
B0FFF3SRUW,wm6n3p,1.0
B0FFG88D9U,wm6n3p,1.0
B001C8P76T,wm6n3p,1.0
B0FFGBF0XV,wm6n3p,1.0
B001C8TYAK,wm6n3p,1.0
B001C7U3PT,wm3xnu,0.0
B0FFFTIMQI,wm3xnu,0.0
B001C03E33,wm6n2b,1.0
B001C7WK7W,wm6n2b,1.0
B001C8MQ3M,wm6n2b,1.0
B0FFI2QJWY,wm6n2b,1.0
B001C7WGPL,wm6n2b,1.0
B001C8O8YH,wm6n2b,1.0
B0FFF009Q8,wm6n2b,1.0
B001C7WF6B,wm6n2b,1.0
B0FFFABJ8H,wm6n2b,1.0
B001C80L3V,wm6n2b,1.0
B001C8W84Z,wm6n2b,1.0
B0FFGFHVP8,wm6n2b,1.0
B001C7XKV6,wm6n2b,1.0
B001C08N4Q,wm6n2b,1.0
B001C7WK7X,wm6n2b,1.0
B0FFFZCK05,wm6n2b,1.0
B001C7Y858,wm6n2b,1.0
B001C8P7JD,wm6n2b,1.0
B001C8P7BN,wm6n2b,1.0
B001C7WGPF,wm6n2b,1.0
B001C00D07,wm6n2b,1.0
B001C8SBOX,wm6n2b,1.0
B001C7YA8V,wm6n2b,1.0
B001C7VMOJ,wm6n2b,1.0
B001C04EDD,wm6n2b,1.0
B001C8N1O5,wm6n2b,1.0
B0FFKQTLFM,wm6n2b,1.0
B001C7WGPA,wm6n2b,1.0
B001C7XTK1,wm6n2b,1.0
B001C8NW2Y,wm6n2b,1.0
B001C8P6N5,wm6n2b,1.0
B001C8QAG1,wm6n2b,1.0
B0FFFABJ75,wm6n2b,1.0
B001C7WGPD,wm6n2b,1.0
B0FFG7IVII,wm6n2b,1.0
B001C7Y806,wm6n2b,1.0
B001C7WGPI,wm6n2b,1.0
B001C7WQE2,wm6n2b,1.0
B001C8O92Q,wm6n2b,1.0
B0FFFAAZPE,wm6n2b,1.0
B001C7Y85T,wm6n2b,1.0
B001C7Y8CY,wm6n2b,1.0
B001C06WD0,wm6n2b,1.0
B001C8MVJ6,wm3yrp,1.0
B001C7V6WP,wm3yrp,1.0
B001C7X6B8,wm3yrp,1.0
B001C7WCML,wm3yrp,1.0
B001C7WCLT,wm3yrp,1.0
B001C7V9IH,wm3yrp,1.0
B0FFFABYE8,wm3yrp,1.0
B001C7WCLR,wm3yrp,1.0
B001C7V663,wm3yrp,1.0
B0FFFACNJF,wm3yrp,1.0
B001C8MLGC,wm3yrp,1.0
B001C7WCLQ,wm3yrp,1.0
B001C08F8C,wm3yrp,1.0
B001C7WL8J,wm3yrp,1.0
B001C7WCJU,wm3yrp,1.0
B001C7VFNZ,wm3yrp,1.0
B001C8MVJ7,wm3yrp,1.0
B001C7WMJH,wm3yrp,1.0
B001C8MVBP,wm3yrp,1.0
B0FFFACNKM,wm3yrp,1.0
B001C7XROB,wm3yrp,1.0
B0FFH8WS56,wm3yrp,1.0
B001C7WCMS,wm3yrp,1.0
B001C7WCLS,wm3yrp,1.0
B0FFFAC2XW,wm3yrp,1.0
B001C7WM19,wm3yrp,1.0
B001C7WCI6,wm3yrp,1.0
B001C807EM,wm3yrp,1.0
B0FFG1N3K5,wm3yrp,1.0
B001C09YWM,wm3yrp,1.0
B001C08WU6,wm3yrp,1.0
B001C0A21X,wm3yrp,1.0
B001C0AB3Q,wm3yrp,1.0
B001C7WCMI,wm3yrp,1.0
B0FFFABDJW,wm3yrp,1.0
B0FFFABMB6,wm3yrp,1.0
B001C92GAS,wm3yrp,1.0
B0FFFABFT3,wm3yrp,1.0
B001C7WRZB,wm3yrp,1.0
B0FFFAD0RF,wm3yrp,1.0
B001C8MXRT,wm3yrp,1.0
B001C8080J,wm3yrp,1.0
B0FFFABFSU,wm3yrp,1.0
B001C7WCMJ,wm3yrp,1.0
B001C7WL11,wm3yrp,1.0
B001C04FE3,wm3yrp,1.0
B0FFFABLNF,wm3yrp,1.0
B001C91YW5,wm3yrp,1.0
B0FFFAAUEA,wm3yrp,1.0
B001C7V0RP,wm3yrp,1.0
B001C7WCMK,wm3yrp,1.0
B001C08IW5,wm3yrp,1.0
B001C7Y3QU,wm3yrp,1.0
B001C7WCMG,wm3yrp,1.0
B001C7V9CB,wm3yrp,1.0
B001C7YKX2,wm3yrp,1.0
B001C7WCMH,wm3yrp,1.0
B0FFF07YFC,wm6n00,1.0
B001C8R7X3,wm6n00,1.0
B0FFGCGHYY,wm6n00,1.0
B001C8MOMR,wm6n00,1.0
B001C8O84H,wm6n00,1.0
B001C8S9HS,wm6n00,1.0
B0FFGCS07N,wm6n00,1.0
B001C8MR2J,wm6n00,1.0
B001C8MR2N,wm6n00,1.0
B001C802FA,wm6n00,1.0
B0FFGANCN4,wm6n00,1.0
B0FFGAND0C,wm6n00,1.0
B001C7VBIV,wm3ypt,1.0
B001C8O2TH,wm3ypt,1.0
B001C7UTXF,wm3ypt,1.0
B001C80O0S,wm3ypt,1.0
B001C051A8,wm3ypt,1.0
B001C7UTYM,wm3ypt,1.0
B001C0AJ7C,wm3ypt,1.0
B001C0AJ72,wm3ypt,1.0
B001C7V5JB,wm3ypt,1.0
B001C807EX,wm3ypt,1.0
B001C0AJ2W,wm3ypt,1.0
B001C7SNNM,wm3ypt,1.0
B001C00CDF,wm3ypt,1.0
B001C7UTX2,wm3ypt,1.0
B001C7YCIR,wm3ypt,1.0
B0FFF6V9GX,wm3ypt,1.0
B001C09PH9,wm3ypt,1.0
B0FFFACGT8,wm3ypt,1.0
B0FFHUCUGK,wm3ypt,1.0
B001C7WS13,wm3yxu,1.0
B0FFH8P612,wm3yxu,1.0
B0FFGBJ03P,wm3yxu,1.0
B001C7X9E2,wm3yxu,1.0
B001C7WBAI,wm3yxu,1.0
B001C7VBXM,wm3yxu,1.0
B0FFGB81VW,wm3yxu,1.0
B001C7WD2Q,wm3yxu,1.0
B0FFG7LWAJ,wm3yxu,1.0
B001C7WD0H,wm3yxu,1.0
B001C7YP2U,wm3yxu,1.0
B001C7WD9Z,wm3yxu,1.0
B0FFFAD3CY,wm3yxu,1.0
B001C8MUKF,wm3yxu,1.0
B001C7WS09,wm3yxu,1.0
B001C7WLAE,wm3yxu,1.0
B001C7WCZX,wm3yxu,1.0
B001C7XY2Z,wm3yxu,1.0
B001C8084Z,wm3yxu,1.0
B001C7XBGN,wm3yxu,1.0
B001C7WD9T,wm3yxu,1.0
B001C7WMEX,wm3yxu,1.0
B001C7X8EU,wm3yxu,1.0
B001C7WCZR,wm3yxu,1.0
B001C7WCZS,wm3yxu,1.0
B001C7XMEV,wm3yxu,1.0
B001C7SXAH,wm3vxf,1.0
B001C8MO4I,wm3vxf,1.0
B0FFG6PZ7B,wm3vxf,1.0
B001C8MOSP,wm3vxf,1.0
B001C08U5A,wm3vxf,1.0
B001C7UWKB,wm3vxf,1.0
B001C00E3D,wm3vxf,1.0
B001C7RYOC,wm3vxf,1.0
B001C8MP7W,wm3vxf,1.0
